,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
158,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"30,940,108.28",0.2,"30,940,108.28","39,665,000.00",168863DS4,US168863DS48,BN77TM9,77.13,Chile,-,USD,12.09,5.16,1.0,"May 07, 2041",3.1,12.12,-,5.16,12.12,5.16,USD,"May 07, 2021","May 07, 2021",3.9099120000000003,1.2500879999999999,1.5081557035789543,1-2
169,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"29,920,938.91",0.19,"29,920,938.91","33,676,000.00",718286BZ9,US718286BZ91,BV8NTQ6,88.53,Philippines,-,USD,11.12,5.03,1.0,"Jan 20, 2040",3.95,11.1,-,5.03,11.1,5.03,USD,"Jan 20, 2015","Jan 20, 2015",3.874216,1.1557840000000001,1.110279431889437,1-2
174,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"29,657,008.74",0.19,"29,657,008.74","39,671,000.00",718286CP0,US718286CP01,-,74.38,Philippines,-,USD,14.25,5.17,1.0,"Jul 06, 2046",3.2,14.34,-,5.17,14.34,5.17,USD,"Jul 06, 2021","Jul 06, 2021",3.9894,1.1806,1.6564833718092977,1-2
175,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"29,461,757.56",0.19,"29,461,757.56","34,106,000.00",718286CA3,US718286CA32,BYXBMS9,84.66,Philippines,-,USD,11.58,5.08,1.0,"Mar 01, 2041",3.7,11.56,-,5.08,11.56,5.08,USD,"Mar 01, 2016","Mar 01, 2016",3.891144,1.188856,1.3369140384306846,1-2
177,REPUBLIC OF PHILIPPINES,Sovereign,Fixed Income,"29,155,890.73",0.19,"29,155,890.73","34,522,000.00",718286CB1,US718286CB15,BYWYT99,84.28,Philippines,-,USD,12.21,5.07,1.0,"Feb 02, 2042",3.7,12.21,-,5.07,12.21,5.07,USD,"Feb 02, 2017","Feb 02, 2017",3.9143280000000003,1.155672,1.2699776850806497,1-2
178,ABU DHABI (EMIRATE OF) MTN RegS,Sovereign,Fixed Income,"29,051,922.20",0.19,"29,051,922.20","39,299,000.00",-,XS2057866191,-,72.72,United Arab Emirates,-,USD,15.34,5.05,1.0,"Sep 30, 2049",3.13,15.43,-,5.05,15.43,5.05,USD,"Sep 30, 2019","Sep 30, 2019",4.0295119999999995,1.0204880000000003,1.6301288391428066,1-2
195,PETRONAS CAPITAL LTD MTN RegS,Agency,Fixed Income,"28,075,247.63",0.18,"28,075,247.63","38,737,000.00",-,USY6886MAC48,-,71.43,Malaysia,-,USD,17.79,5.14,1.0,"Apr 28, 2061",3.4,17.59,-,5.14,17.59,5.14,USD,"Apr 28, 2021","Apr 28, 2021",4.119672,1.0203280000000001,1.8522469258249763,1-2
208,SAUDI ARABIA (KINGDOM OF) RegS,Sovereign,Fixed Income,"27,370,824.19",0.18,"27,370,824.19","28,241,000.00",-,XS1936302949,BHN66T4,96.44,Saudi Arabia,-,USD,13.58,5.51,1.0,"Jan 16, 2050",5.25,13.66,-,5.51,13.66,5.51,USD,"Jan 16, 2019","Jan 16, 2019",3.964744,1.5452559999999997,1.4220592945492587,1-2
211,ABU DHABI (EMIRATE OF) RegS,Sovereign,Fixed Income,"27,106,735.10",0.18,"27,106,735.10","30,415,000.00",-,XS1696899035,BF0M732,87.66,United Arab Emirates,-,USD,13.83,5.03,1.0,"Oct 11, 2047",4.13,13.93,-,5.03,13.93,5.03,USD,"Oct 11, 2017","Oct 11, 2017",3.973944,1.0560560000000003,1.2412157436028393,1-2
220,SAUDI ARABIA (KINGDOM OF) MTN RegS,Sovereign,Fixed Income,"26,486,761.81",0.17,"26,486,761.81","27,980,000.00",-,XS1791939736,BFNF114,92.97,Saudi Arabia,-,USD,13.34,5.52,1.0,"Apr 17, 2049",5.0,13.42,-,5.52,13.42,5.52,USD,"Apr 17, 2018","Apr 17, 2018",3.955912,1.5640879999999995,1.5499888209386203,1-2
