,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
538,MDGH GMTN RSC LTD MTN RegS,Agency,Fixed Income,"11,785,716.20",0.08,"11,785,716.20","14,729,000.00",-,XS2075924048,BHT6472,78.97,United Arab Emirates,-,USD,14.66,5.21,1.0,"Nov 07, 2049",3.7,14.82,-,5.21,14.82,5.21,USD,"Nov 07, 2019","Nov 07, 2019",4.004488,1.2055119999999997,1.680634899097275,1-2
546,UNITED ARAB EMIRATES (GOVERNMENT O MTN RegS,Sovereign,Fixed Income,"11,435,597.73",0.07,"11,435,597.73","11,727,000.00",-,XS2492385203,-,96.94,United Arab Emirates,-,USD,14.68,5.16,1.0,"Jul 07, 2052",4.95,14.74,-,5.16,14.74,5.16,USD,"Jul 07, 2022","Jul 07, 2022",4.005224,1.154776,1.0518676010814028,1-2
555,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"10,944,307.58",0.07,"10,944,307.58","10,543,000.00",455780CJ3,US455780CJ33,BFZYWK5,103.69,Indonesia,-,USD,13.64,5.08,1.0,"Feb 11, 2049",5.35,13.75,-,5.08,13.75,5.08,USD,"Dec 11, 2018","Dec 11, 2018",3.966952,1.113048,0.7704489836536893,1-2
557,PERUSAHAAN PERSEROAN (PERSERO) PT MTN RegS,Agency,Fixed Income,"10,922,912.02",0.07,"10,922,912.02","10,642,000.00",71568QAF4,US71568QAF46,BD1R237,101.14,Indonesia,-,USD,12.24,6.06,1.0,"May 21, 2048",6.15,12.29,-,6.06,12.29,6.06,USD,"May 21, 2018","May 21, 2018",3.915432,2.1445679999999996,1.7885384529246058,2-3
571,INDONESIA (REPUBLIC OF) MTN RegS,Sovereign,Fixed Income,"10,326,521.67",0.07,"10,326,521.67","10,680,000.00",-,USY20721BU20,BF41TW8,96.28,Indonesia,-,USD,13.51,5.02,1.0,"Jul 18, 2047",4.75,13.62,-,5.02,13.62,5.02,USD,"Jul 18, 2017","Jul 18, 2017",3.962168,1.0578319999999994,0.940013131601962,1-2
582,PERUSAHAAN LISTRIK NEGARA PT RegS,Agency,Fixed Income,"9,781,913.60",0.06,"9,781,913.60","10,325,000.00",71568QAB3,US71568QAB32,B89NQT6,93.06,Indonesia,-,USD,11.16,5.88,1.0,"Oct 24, 2042",5.25,11.15,-,5.88,11.15,5.88,USD,"Oct 24, 2012","Oct 24, 2012",3.8756880000000002,2.0043119999999996,1.8712112071658322,2-3
586,DUBAI (EMIRATE OF) MTN RegS,Sovereign,Fixed Income,"9,524,949.73",0.06,"9,524,949.73","9,779,000.00",-,XS0880597603,B9BMNF3,97.13,United Arab Emirates,-,USD,11.56,5.5,1.0,"Jan 30, 2043",5.25,11.58,-,5.5,11.58,5.5,USD,"Jan 30, 2013","Jan 30, 2013",3.8904080000000003,1.6095919999999997,1.3735058366313926,1-2
593,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"9,233,897.58",0.06,"9,233,897.58","10,478,000.00",455780CU8,US455780CU87,-,86.59,Indonesia,-,USD,18.06,5.22,1.0,"Apr 15, 2070",4.45,17.46,-,5.22,17.46,5.22,USD,"Apr 15, 2020","Apr 15, 2020",4.129607999999999,1.0903920000000005,1.3914389062025396,1-2
602,ABU DHABI (EMIRATE OF) MTN RegS,Sovereign,Fixed Income,"8,704,093.33",0.06,"8,704,093.33","12,202,000.00",-,XS2386638816,-,70.05,United Arab Emirates,-,USD,16.09,5.04,1.0,"Sep 15, 2051",3.0,16.15,-,5.04,16.15,5.04,USD,"Sep 15, 2021","Sep 15, 2021",4.057112,0.982888,1.6481931659774045,0-1
605,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"8,637,830.37",0.06,"8,637,830.37","10,587,000.00",455780CN4,US455780CN45,-,80.47,Indonesia,-,USD,14.82,5.08,1.0,"Oct 30, 2049",3.7,14.91,-,5.08,14.91,5.08,USD,"Oct 30, 2019","Oct 30, 2019",4.010376,1.0696240000000001,1.5042901762201883,1-2
607,ABU DHABI (EMIRATE OF) MTN RegS,Sovereign,Fixed Income,"8,561,346.80",0.06,"8,561,346.80","13,822,000.00",-,XS2225210330,BMZMR03,60.69,United Arab Emirates,-,USD,20.83,4.84,1.0,"Sep 02, 2070",2.7,20.11,-,4.84,20.11,4.84,USD,"Sep 02, 2020","Sep 02, 2020",4.193281,0.646719,1.8461440115450627,0-1
609,PERTAMINA PERSERO PT MTN RegS,Agency,Fixed Income,"8,526,644.58",0.06,"8,526,644.58","10,513,000.00",69370RAG2,US69370RAG20,-,80.78,Indonesia,-,USD,14.15,5.6,1.0,"Jan 21, 2050",4.17,14.28,-,5.6,14.28,5.6,USD,"Jan 21, 2020","Jan 21, 2020",3.98572,1.6142799999999995,1.9968242544738333,1-2
614,UNITED ARAB EMIRATES (GOVERNMENT O MTN RegS,Sovereign,Fixed Income,"7,818,762.19",0.05,"7,818,762.19","10,197,000.00",-,XS2397083820,-,75.72,United Arab Emirates,-,USD,12.56,5,1.0,"Oct 19, 2041",2.88,12.55,-,5,12.55,5.0,USD,"Oct 19, 2021","Oct 19, 2021",3.9272080000000003,1.0727919999999997,1.4419147179215976,1-2
619,MDGH GMTN RSC LTD MTN RegS,Agency,Fixed Income,"6,877,149.64",0.04,"6,877,149.64","9,159,000.00",-,XS2324826994,-,74.41,United Arab Emirates,-,USD,15.5,5.18,1.0,"Jun 07, 2051",3.4,15.64,-,5.18,15.64,5.18,USD,"Jun 07, 2021","Jun 07, 2021",4.0354,1.1445999999999996,1.7510886245142874,1-2
